1,1,0.0033222591362126247,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
13,2,0.04318936877076412,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Evening, Day of the week: Thursday, Duration: One week, Transportation: Public transport, Souvenirs: Tulips])
14,1,0.046511627906976744,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
14,2,0.046511627906976744,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Dancing, Time of arrival: Evening, Day of the week: Thursday, Duration: One week, Transportation: Combination, Souvenirs: Waterpipe])
15,1,0.04983388704318937,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
15,2,0.04983388704318937,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Monday, Duration: One week, Transportation: Combination, Souvenirs: Waterpipe])
16,1,0.053156146179401995,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
16,2,0.053156146179401995,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Friday, Duration: One night, Transportation: Car, Souvenirs: None])
17,1,0.05647840531561462,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
17,2,0.05647840531561462,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Monday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
18,1,0.059800664451827246,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
18,2,0.059800664451827246,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Afternoon, Day of the week: Thursday, Duration: One week, Transportation: Car, Souvenirs: None])
19,1,0.06312292358803986,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
19,2,0.06312292358803986,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Morning, Day of the week: Sunday, Duration: One week, Transportation: Car, Souvenirs: Cheese])
20,1,0.0664451827242525,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
20,2,0.0664451827242525,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Dancing, Time of arrival: Evening, Day of the week: Saturday, Duration: One week, Transportation: Public transport, Souvenirs: Tulips])
21,1,0.06976744186046512,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
21,2,0.06976744186046512,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One night, Transportation: Combination, Souvenirs: Waterpipe])
22,1,0.07308970099667775,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
22,2,0.07308970099667775,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Friday, Duration: One week, Transportation: Public transport, Souvenirs: Tulips])
23,1,0.07641196013289037,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
23,2,0.07641196013289037,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Afternoon, Day of the week: Tuesday, Duration: One week, Transportation: Combination, Souvenirs: Waterpipe])
24,1,0.07973421926910298,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
24,2,0.07973421926910298,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Morning, Day of the week: Sunday, Duration: One week, Transportation: Public transport, Souvenirs: Waterpipe])
25,1,0.08305647840531562,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
25,2,0.08305647840531562,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Morning, Day of the week: Friday, Duration: One week, Transportation: Combination, Souvenirs: Waterpipe])
26,1,0.08637873754152824,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
26,2,0.08637873754152824,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Sunday, Duration: One night, Transportation: Public transport, Souvenirs: Waterpipe])
27,1,0.08970099667774087,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
27,2,0.08970099667774087,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Afternoon, Day of the week: Saturday, Duration: One week, Transportation: Combination, Souvenirs: Waterpipe])
28,1,0.09302325581395349,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
28,2,0.09302325581395349,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Afternoon, Day of the week: Friday, Duration: One week, Transportation: Combination, Souvenirs: None])
29,1,0.09634551495016612,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
29,2,0.09634551495016612,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Museum, Time of arrival: Evening, Day of the week: Sunday, Duration: One week, Transportation: Public transport, Souvenirs: Waterpipe])
30,1,0.09966777408637874,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
